Country code,Country name,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
CZE,CZECH REPUBLIC,3.8,3.9,4.1,4.3,4.5,4.7,5.0,5.2,5.5,5.7,6.0,6.2,6.6,7.0,7.6,8.4,9.2,10.2,11.2,12.3,13.2,14.0,14.6
DEU,GERMANY,4.1,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.9,5.0,5.1,5.2,5.4,5.5,5.7,5.9,6.2,6.5,6.8,7.2,7.6,8.0,8.5
DJI,DJIBOUTI,80.9,83.2,85.9,88.5,91.2,93.8,96.3,98.7,101.2,103.2,104.9,106.8,108.2,109.4,110.6,111.3,112.3,113.1,113.8,114.8,116.2,117.6,119.1
DMA,DOMINICA,12.6,12.9,13.1,13.3,13.5,13.7,13.9,14.1,14.4,14.6,15.0,15.3,15.6,16.0,16.3,16.5,16.8,16.9,17.1,17.1,17.2,17.2,17.2
DNK,DENMARK,3.7,3.8,4.0,4.2,4.4,4.6,4.8,5.0,5.1,5.3,5.4,5.5,5.6,5.7,5.8,6.0,6.2,6.5,6.9,7.4,7.9,8.4,9.0
DOM,DOMINICAN REPUBLIC,27.1,28.0,28.8,29.7,30.7,31.6,32.6,33.7,34.9,36.1,37.3,38.6,40.0,41.5,43.1,44.7,46.6,48.5,50.6,52.7,55.0,57.3,59.7
DZA,ALGERIA,20.0,20.8,21.5,22.3,23.1,24.1,25.1,26.3,27.7,29.2,31.0,32.8,34.7,36.6,38.4,40.2,41.9,43.5,44.8,46.1,47.2,48.3,49.7
ECU,ECUADOR,23.3,24.1,24.8,25.6,26.3,27.1,28.0,28.9,29.7,30.7,31.7,32.9,34.2,35.7,37.3,39.2,41.2,43.3,45.7,48.1,50.6,53.2,55.8
EGY,EGYPT,21.0,22.0,23.0,24.2,25.6,27.2,29.1,31.2,33.6,36.1,38.9,41.9,45.1,48.5,52.0,55.9,59.9,64.2,68.5,72.8,77.1,81.3,85.5
ERI,ERITREA,51.8,53.8,55.9,58.3,60.9,63.7,66.6,69.8,73.3,76.7,80.6,84.9,89.2,94.1,99.2,104.6,110.5,116.9,123.6,130.2,137.0,143.6,149.8
ESP,SPAIN,4.5,4.6,4.7,4.9,5.1,5.3,5.5,5.7,5.9,6.0,6.2,6.3,6.5,6.7,7.0,7.3,7.7,8.2,8.9,9.5,10.1,10.6,11.0
EST,ESTONIA,3.6,4.0,4.4,4.8,5.3,5.9,6.5,7.1,7.8,8.5,9.3,10.1,11.0,11.9,12.9,13.9,14.9,16.0,17.0,17.9,18.8,19.6,20.3
ETH,Ethiopia,68.3,71.9,76.2,81.4,87.3,94.4,101.9,109.8,117.9,125.7,133.1,139.7,145.5,150.9,155.9,161.4,167.7,174.7,181.9,188.5,194.5,199.8,204.0
FIN,FINLAND,2.9,3.0,3.1,3.2,3.3,3.5,3.6,3.7,3.8,4.0,4.1,4.2,4.3,4.4,4.6,4.7,4.9,5.2,5.5,5.8,6.1,6.4,6.7
FJI,FIJI,22.4,22.6,22.7,22.6,22.5,22.3,22.3,22.3,22.5,22.8,23.3,23.8,24.3,24.8,25.3,25.8,26.3,26.9,27.4,28.1,28.8,29.7,30.6
