source,target,value,,
Potential Sales by MSA Region by Year,Sales,1,,
Shipments by MSA Region by Year,Sales,1,,
Target Sales by MSA Region by Year,Sales,1,,
Target Sales by MSA Region by Segment by Year,Sales,1,,
Number of Employees at each Customer,Sales,1,,
Ranking of Each Customer Nationally,Sales,1,,
Potential Sales for Projected Per Customer,Sales,1,,
Product Margin of Dealer Compared to Average Dealer by MSA Region,Sales,1,,
Dealer Discounting compared to average dealer discounting by MSA Region,Sales,1,,
Sales vs Plan by MSA Region,Sales,1,,
Customer Name,Sales,1,,
Customer ID,Sales,1,,
Customer Address,Sales,1,,
Customer Annual Revenue,Sales,1,,
Customer Number of Employees,Sales,1,,
Customer Opportunity ID,Sales,1,,
Customer Opportunity Name,Sales,1,,
Customer Opportunity Description,Sales,1,,
Customer Opportunity Value,Sales,1,,
Years HM has had relaitonship with customer,Sales,1,,
Customer Sales Region,Sales,1,,
Customer NAICs Code,Sales,1,,
Customer Jigsaw company ID,Sales,1,,
Customer Duns Company ID,Sales,1,,
Historic Transactional Information,Sales,1,,
Historic Sales by Sales Representative,Sales,1,,
Historic Sales by Dealer,Sales,1,,
Dealer Sales Goal Sales,Sales,1,,
Dealer Projected Total Sales,Sales,1,,
Dealer YTD Total Sales,Sales,1,,
Budget for Dealer Projects,Sales,1,,
Budget for Events Projects,Sales,1,,
Budget for General Projects,Sales,1,,
Budget for Markating Projects,Sales,1,,
Budget for Sales Project,Sales,1,,
Spend on Dealer Projects,Sales,1,,
Spend on Events Projects,Sales,1,,
Spend on General Projects,Sales,1,,
Spend on Marketing Projects,Sales,1,,
Spend on Sales Projects,Sales,1,,
Spend on Sales Projects by Region,Sales,1,,
Budget for Sales Projects by Region,Sales,1,,
Sales by Year by Region,Sales,1,,
Planned Sales by Year by Region,Sales,1,,
Planned Market Share by Year by Region,Sales,1,,
Actual Market Share by Year by Region,Sales,1,,
Expected Market Share Growth by Year by Region,Sales,1,,
Sales by Year by MSA,Sales,1,,
Planned Sales by Year by MSA,Sales,1,,
Planned Market Share by Year by MSA,Sales,1,,
Actual Market Share by Year by MSA,Sales,1,,
Expected Market Share Growth by Year by MSA,Sales,1,,
Customer Satisfaction Survey,Sales,1,,
Dealer Code - Unique Identiifier,Sales,1,,
MSA Code - Unique Identifier,Sales,1,,
Region Code - Unique Identifier,Sales,1,,
Dealer Sales Volume,Sales,1,,
Dealer Potential Sales Volume,Sales,1,,
Dealer Sales Goal,Sales,1,,
Individual Assigned to MSA,Sales,1,,
Number of Dealers by MSA,Sales,1,,
Number of Dealers by Region,Sales,1,,
Forecast Sales by Region,Sales,1,,
Actual Sales by Region,Sales,1,,
Forecast Volume by Region,Sales,1,,
Actual Volume by Region,Sales,1,,
Projected Size of Anticipated Customer Wins,Sales,1,,
Notable Customer Wins,Sales,1,,
Notable Customer Losses,Sales,1,,
Global Accounts Sales Target,Sales,1,,
Global Accounts Actual Sales,Sales,1,,
Current Non-Dealer Opportunity - Owner Name,Sales,1,,
Current Non-Dealer Opportunity - Customer Name,Sales,1,,
Current Non-Dealer Opportunity - Region,Sales,1,,
Current Non-Dealer Opportunity - Stage,Sales,1,,
Current Non-Dealer Opportunity - Win Probability,Sales,1,,
Product Family Sales by Region,Sales,1,,
Product Family Planned Sales by Region,Sales,1,,
Product Family Margin by Region,Sales,1,,
Product Family Planned Margin by Region,Sales,1,,
Product Family Discounts by Region,Sales,1,,
Product Family Planned Discounts by Region,Sales,1,,
Sales Per Year to End Customer,Sales,1,,
Strategic Objective - Intuitive Adaptation,Sales,1,,
Strategic Objective - Ultimate Settings,Sales,1,,
Strategic Objective - Exceptional Accessories,Sales,1,,
Strategic Objective - Living Office Workplace Expertise,Sales,1,,
Projected Year 4 Sales for Product in Development,Sales,1,,
Level of Innovation for Product in Development,Sales,1,,
Anticipated Buzz Level of Product in Development,Sales,1,,
Name of Product in Developent,Sales,1,,
Product Adjacencies - Seating Idea Starters by Living Office Setting,Sales,1,,
CAD Drawings,Sales,1,,
Anticipated Launch Date for Product in Development,Sales,1,,
Projected Living Office Readiness,Sales,1,,
Dealer Living Office Readiness,Sales,1,,
Ranking of Organization Structure,Sales,1,,
Ranking of Work Processes,Sales,1,,
Ranking of Work Location,Sales,1,,
Ranking of Interactions,Sales,1,,
Ranking of Individual Work,Sales,1,,
Ranking of Group Work,Sales,1,,
Ranking of Seating Products to Each Work Setting,Sales,1,,
Square Feet Needed for Designed Configuration,Sales,1,,
Anticipated Landscape Types by Year to 2020,Sales,1,,
Anticipated Setting breakdown by Year to 2020,Sales,1,,
Spatial Recipe by Setting,Sales,1,,
Technology Needed For Setting,Sales,1,,
Start Order Entry,Sales,1,,
12 Month Sales Forecast,Sales,1,,
Market Launch Status,Sales,1,,
Project Value Proposition,Sales,1,,
Projected Annual Net Sales,Sales,1,,
Market Criteria,Sales,1,,
Market Launch Plan (which Showrooms),Sales,1,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
