Name,People,Product,Place,Format,Location (System),Frequency Updated,Frequency Used,Recieved From,Recieved From - Department,Used By Department 1,Used By Department 2,Used By Department 3,Used By Department 4,Linkable Data 1,Linkable Data 2,Linkable Data 3,Linkable Data 4,Unit
Projected Total Sales Impact (5 Year Cumulative) for Project,,1,,Powerpoint,Concept Convergence Document,Once,Once,Connnie Boeve,Project Management,Research,Design/Development,Product Management,,Time,Product,,,
Project Problem Statement,,1,,Powerpoint,Concept Convergence Document,Once,Once,Connnie Boeve,Project Management,Research,Design/Development,Product Management,,Time,Product,Customer,,
Customer Needs met by Project,,1,,Powerpoint,Concept Convergence Document,Once,Once,Connnie Boeve,Project Management,Research,Design/Development,Product Management,,Product,Customer,,,
Strategic Needs Satisfied by Project,,1,,Powerpoint,Concept Convergence Document,Once,Once,Connnie Boeve,Project Management,Research,Design/Development,Product Management,,Product,,,,
Project Positioning Statement,,1,,Powerpoint,Concept Convergence Document,Once,Once,Connnie Boeve,Project Management,Research,Design/Development,Product Management,,Product,,,,
Project Key Market Based Product Criteria,,1,,Powerpoint,Concept Convergence Document,Once,Once,Connnie Boeve,Project Management,Research,Design/Development,Product Management,,Product,Customer,Region,Customer Segment,
Project Points of Differentiation,,1,,Powerpoint,Concept Convergence Document,Once,Once,Connnie Boeve,Project Management,Research,Design/Development,Product Management,,Product,,,,
Project Vocabulary,,1,,Powerpoint,Concept Convergence Document,Once,Once,Connnie Boeve,Project Management,Research,Design/Development,Product Management,,Product,,,,
Project Competitive Assessment,,1,,Powerpoint,Concept Convergence Document,Once,Once,Connnie Boeve,Project Management,Research,Design/Development,Product Management,,Product,,,,
Project Competitive Cost Comparisons,,1,,Powerpoint,Concept Convergence Document,Once,Once,Connnie Boeve,Project Management,Research,Design/Development,Product Management,,Product,,,,
Project Cost Target,,1,,Powerpoint,Concept Convergence Document,Once,Once,Connnie Boeve,Project Management,Research,Design/Development,Product Management,,Product,,,,
Project Cost Estimate,,1,,Powerpoint,Concept Convergence Document,Once,Once,Connnie Boeve,Project Management,Research,Design/Development,Product Management,,Product,,,,
Project Design Challenges,,1,,Powerpoint,Concept Convergence Document,Once,Once,Connnie Boeve,Project Management,Research,Design/Development,Product Management,,Product,Employee,,,
Project ID,,1,,Database,Accolade,Weekly,Weekly,Connnie Boeve,Project Management,Research,Design/Development,Product Management,,Product,,,,
Project Status - Project in Trouble,,1,,Database,Accolade,Weekly,Weekly,Connnie Boeve,Project Management,Research,Design/Development,Product Management,,Product,Employee,Time,,
Project Status - Project Stage,,1,,Database,Accolade,Weekly,Weekly,Connnie Boeve,Project Management,Research,Design/Development,Product Management,,Product,Employee,Time,,
Project Status - Next Gate for Project,,1,,Database,Accolade,Weekly,Weekly,Connnie Boeve,Project Management,Research,Design/Development,Product Management,,Product,Time,,,
